K,exclus,semcoh,heldout,residual,bound,lbound,em.its,param_id,remove_numbers,split_on,split_hyphens,min_ngram_count,doc_id_field,text_field,parent_id,get_ngram
10,9.216797717448063,-72.5901581712379,-7.7434200925820775,1.380485086937208,-174226.38492484248,-174211.2805122694,75,params_d8c162a1,1,paragraph,1,0,para_id,paragraph,file,FALSE
20,9.482026723556016,-80.25319663988383,-7.845052183391415,1.5804924245287202,-165714.1390496465,-165671.80343318576,67,params_d8c162a1,1,paragraph,1,0,para_id,paragraph,file,FALSE
10,9.216797717448063,-72.5901581712379,-7.7434200925820775,1.380485086937208,-174226.38492484248,-174211.2805122694,75,params_c9d09c81,1,paragraph,1,5,para_id,paragraph,file,TRUE
20,9.482026723556016,-80.25319663988383,-7.845052183391415,1.5804924245287202,-165714.1390496465,-165671.80343318576,67,params_c9d09c81,1,paragraph,1,5,para_id,paragraph,file,TRUE
